essai,date plantation_ou_coupe,age,date notation,modalité,parcelle,zone,Note_globale_plein,Note_globale_R,Note_globale_IR,Note_adv_plein,Note_adv_R,Note_adv_IR,Note_pds_plein,Note_pds_R,Note_pds_IR,Cyperus rotundus ,Ipomoea triloba,Euphorbia heterophylla ,Hibiscus surattensis ,Paspalum paniculatum,Crotalaria juncea,Commelina benghalensis,Amaranthus dubius,Momordica charantia ,Cleome viscosa ,Merremia aegyptia,Bidens pilosa ,Commelina diffusa ,Rottboellia cochinchinensis ,Ipomoea eriocarpa ,Argemone mexicana ,Phyllanthus tenellus,Senna occidentalis ,Phyllanthus urinaria ,Stenotaphrum dimidiatum,Cynodon dactylon ,Datura inoxia,Croton bonplandianus,Ricinus communis ,Euphorbia hypericifolia,Sida acuta ,Cajanus scarabeoides,Portulaca oleracea ,Desmanthus virgatus,Sida glutinosa ,Ipomea indica,Mimosa pudica 
P12,30/11/2017,"0,4",13/12/2017,M1,P1,,3,3,3,3,3,3,,,,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,Tréf,P2,,3,3,3,3,3,3,,,,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,M2,P3,,3,3,3,3,3,3,,,,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,M3,P4,,5,5,5,5,5,5,,,,5,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,Tréf,P5,,5,5,5,5,5,5,,,,5,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,M4,P6,,5,5,5,5,5,5,,,,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,TE,,,5,5,5,5,5,5,,,,5,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,"Bordure, 5ème lignes",,,5,5,5,5,5,5,,,,5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"0,4",13/12/2017,"Allées, chemins",,,10,,,10,,,,,,5,3,1,0,1,3,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,M1,P1,,10,10,10,10,10,10,,,,10,5,5,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,Tréf,P2,,10,10,10,10,10,10,,,,10,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,M2,P3,,10,5,15,10,5,15,,,,5,5,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,M3,P4,,10,5,15,10,5,15,,,,5,1,5,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,Tréf,P5,,"12,5",5,20,"12,5",5,20,,,,10,5,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,M4,P6,,"12,5",5,20,"12,5",5,20,,,,10,5,5,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,TE,,,20,15,25,20,15,25,,,,5,5,5,0,1,5,1,10,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,"Bordure, 5ème lignes",,,5,5,5,5,5,5,,,,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"1,3",8/1/2018,"Allées, chemins",,,5,5,5,5,5,5,,,,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,M1,P1,,40,20,60,40,20,60,,,,5,5,10,0,0,10,0,1,0,5,0,10,1,5,30,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,Tréf,P2,,"32,5",15,50,"32,5",15,50,,,,5,5,10,0,0,10,0,0,0,5,0,5,0,10,25,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,M2,P3,,45,20,70,45,20,70,,,,5,1,10,0,0,15,0,5,0,1,0,5,0,0,30,5,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,M3,P4,,60,40,80,60,40,80,,,,5,5,10,0,0,10,0,1,0,20,0,5,5,5,40,1,5,1,10,0,1,0,1,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,Tréf,P5,,65,40,90,65,40,90,,,,10,5,10,0,0,15,5,0,0,20,0,10,0,1,40,1,10,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,M4,P6,,"72,5",50,95,"72,5",50,95,,,,5,10,10,0,0,15,5,10,0,30,0,10,5,10,40,0,10,0,10,0,1,5,5,5,0,0,0,0,0,0,0,0
P12,30/11/2017,"2,0",29/1/2018,TE,,,90,85,95,90,85,95,,,,5,1,20,0,0,15,5,5,0,15,0,5,1,1,40,10,5,1,5,0,1,1,5,5,0,0,0,0,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,M1,P1,,"12,5",10,15,"12,5",10,15,,,,1,0,5,0,0,5,0,0,0,0,0,1,0,0,5,0,5,1,0,0,0,0,1,0,5,0,1,1,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,Tréf,P2,,"12,5",10,15,"12,5",10,15,,,,1,0,5,0,0,1,0,1,0,5,0,1,0,0,5,0,5,0,0,0,0,0,1,0,5,1,1,1,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,M2,P3,,30,5,55,20,5,35,10,,20,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0,1,0,1,0,5,1,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,M3,P4,,10,5,15,10,5,15,,,,1,1,5,0,0,0,5,1,0,5,0,1,0,0,5,0,5,1,0,0,0,0,1,0,5,1,5,0,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,Tréf,P5,,25,10,40,25,10,40,,,,5,0,1,0,0,1,10,1,0,1,0,0,0,0,5,0,10,1,0,0,0,0,1,1,1,1,10,5,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,M4,P6,,"32,5",15,50,"32,5",15,50,,,,20,1,5,0,0,0,5,1,0,5,0,1,0,0,1,0,10,0,0,0,0,0,0,1,5,1,10,1,0,0,0,0
P12,30/11/2017,"3,2",8/3/2018,TE,,,20,10,30,20,10,30,,,,10,1,5,0,0,0,1,1,0,1,0,0,0,0,1,0,10,1,0,0,0,0,1,1,5,1,10,1,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,M1,P1,,"12,5",10,15,"12,5",10,15,,,,1,0,5,1,0,10,0,1,1,1,0,1,0,0,10,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,Tréf,P2,,15,15,15,15,15,15,,,,1,5,10,1,1,5,1,1,0,1,0,1,0,0,10,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,M2,P3,,25,10,40,"12,5",10,15,"12,5",1,25,1,5,10,1,0,5,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,M3,P4,,"32,5",15,50,"32,5",15,50,,,,1,5,10,1,0,5,1,1,0,0,0,1,0,0,10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,Tréf,P5,,30,20,40,30,20,40,,,,5,10,5,1,1,10,1,5,1,5,1,5,0,0,10,0,0,1,0,0,1,0,5,1,5,1,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,M4,P6,,35,20,50,35,20,50,,,,5,10,10,5,1,5,1,5,0,5,1,5,0,0,10,1,0,1,0,0,1,0,1,5,5,1,0,0,0,0,0,0
P12,30/11/2017,"3,9",28/3/2018,TE,,,35,20,50,35,20,50,,,,5,10,20,10,0,5,1,1,1,1,1,1,0,0,20,0,1,0,0,0,1,0,0,10,1,1,0,0,0,0,0,0
P12,30/11/2017,"4,3",9/4/2018,M1,P1,,20,20,20,20,20,20,,,,0,10,5,1,0,1,5,1,1,1,0,1,1,0,5,1,5,1,0,0,0,0,1,0,1,0,0,0,10,0,1,1
P12,30/11/2017,"4,3",9/4/2018,Tréf,P2,,40,20,60,40,20,60,,,,1,5,5,0,0,1,5,0,1,10,0,1,1,0,5,1,5,0,0,0,0,0,0,0,0,0,1,1,20,1,10,0
P12,30/11/2017,"4,3",9/4/2018,M2,P3,,50,20,80,"12,5",15,10,"37,5",5,70,1,1,5,0,0,1,0,1,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0
P12,30/11/2017,"4,3",9/4/2018,M3,P4,,15,20,10,15,20,10,,,,1,0,5,0,0,1,1,0,0,5,1,5,1,0,5,0,5,1,0,0,1,0,0,1,0,0,1,0,5,1,10,1
P12,30/11/2017,"4,3",9/4/2018,Tréf,P5,,50,40,60,50,40,60,,,,5,5,5,1,0,1,5,0,1,10,0,1,1,0,0,1,5,1,0,0,0,0,0,1,0,0,5,0,20,5,1,1
P12,30/11/2017,"4,3",9/4/2018,M4,P6,,30,40,20,30,40,20,,,,10,10,5,1,0,1,5,5,1,1,0,1,1,0,0,1,5,0,0,0,0,0,0,1,5,0,5,0,10,0,5,1
P12,30/11/2017,"4,3",9/4/2018,TE,,,50,40,60,50,40,60,,,,5,10,5,0,0,1,5,5,5,1,0,1,1,0,5,1,5,0,0,0,0,0,0,1,0,0,1,0,10,1,5,1
P12,30/11/2017,"5,4",14/5/2018,M1,P1,,10,10,10,10,10,10,,,,0,0,1,1,1,1,5,0,0,0,0,0,0,1,5,0,1,0,1,0,1,0,5,0,1,1,5,1,0,0,0,0
P12,30/11/2017,"5,4",14/5/2018,Tréf,P2,,"7,5",5,10,"7,5",5,10,,,,1,1,1,0,1,0,5,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0
P12,30/11/2017,"5,4",14/5/2018,M2,P3,,45,10,80,5,5,5,40,5,75,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0
P12,30/11/2017,"5,4",14/5/2018,M3,P4,,5,5,5,5,5,5,,,,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,5,0,0,0,5,0,0,0,5,0,0,0,0,0
